step,time,x,y,invariant
0,0,200,80,-4.37512
1,0.001,200.096,80.008,-4.37512
2,0.002,200.192,80.016,-4.37512
3,0.003,200.288,80.024,-4.37512
4,0.004,200.384,80.0321,-4.37512
5,0.005,200.48,80.0402,-4.37512
6,0.006,200.577,80.0482,-4.37512
7,0.007,200.673,80.0563,-4.37512
8,0.008,200.769,80.0645,-4.37512
9,0.009,200.865,80.0726,-4.37512
10,0.01,200.962,80.0807,-4.37512
11,0.011,201.058,80.0889,-4.37512
12,0.012,201.155,80.0971,-4.37512
13,0.013,201.251,80.1053,-4.37512
14,0.014,201.348,80.1135,-4.37512
15,0.015,201.444,80.1217,-4.37512
16,0.016,201.541,80.1299,-4.37512
17,0.017,201.637,80.1382,-4.37512
18,0.018,201.734,80.1465,-4.37512
19,0.019,201.831,80.1548,-4.37512
20,0.02,201.928,80.1631,-4.37512
21,0.021,202.024,80.1714,-4.37512
22,0.022,202.121,80.1798,-4.37512
23,0.023,202.218,80.1881,-4.37512
24,0.024,202.315,80.1965,-4.37512
25,0.025,202.412,80.2049,-4.37512
26,0.026,202.509,80.2133,-4.37512
27,0.027,202.606,80.2217,-4.37512
28,0.028,202.703,80.2301,-4.37512
29,0.029,202.8,80.2386,-4.37512
30,0.03,202.897,80.2471,-4.37512
31,0.031,202.994,80.2556,-4.37512
32,0.032,203.092,80.2641,-4.37512
33,0.033,203.189,80.2726,-4.37512
34,0.034,203.286,80.2811,-4.37512
35,0.035,203.384,80.2897,-4.37512
36,0.036,203.481,80.2983,-4.37512
37,0.037,203.578,80.3069,-4.37512
38,0.038,203.676,80.3155,-4.37512
39,0.039,203.773,80.3241,-4.37512
40,0.04,203.871,80.3327,-4.37511
41,0.041,203.969,80.3414,-4.37511
42,0.042,204.066,80.35,-4.37511
43,0.043,204.164,80.3587,-4.37511
44,0.044,204.262,80.3674,-4.37511
45,0.045,204.359,80.3762,-4.37511
46,0.046,204.457,80.3849,-4.37511
47,0.047,204.555,80.3937,-4.37511
48,0.048,204.653,80.4024,-4.37511
49,0.049,204.751,80.4112,-4.37511
50,0.05,204.849,80.42,-4.37511
51,0.051,204.947,80.4288,-4.37511
52,0.052,205.045,80.4377,-4.37511
53,0.053,205.143,80.4465,-4.37511
54,0.054,205.241,80.4554,-4.37511
55,0.055,205.339,80.4643,-4.37511
56,0.056,205.437,80.4732,-4.37511
57,0.057,205.535,80.4821,-4.37511
58,0.058,205.634,80.4911,-4.37511
59,0.059,205.732,80.5,-4.37511
60,0.06,205.83,80.509,-4.37511
61,0.061,205.929,80.518,-4.37511
62,0.062,206.027,80.527,-4.37511
63,0.063,206.125,80.536,-4.37511
64,0.064,206.224,80.545,-4.37511
65,0.065,206.323,80.5541,-4.37511
66,0.066,206.421,80.5632,-4.37511
67,0.067,206.52,80.5723,-4.37511
68,0.068,206.618,80.5814,-4.37511
69,0.069,206.717,80.5905,-4.37511
70,0.07,206.816,80.5996,-4.37511
71,0.071,206.915,80.6088,-4.37511
72,0.072,207.013,80.618,-4.37511
73,0.073,207.112,80.6272,-4.37511
74,0.074,207.211,80.6364,-4.37511
75,0.075,207.31,80.6456,-4.37511
76,0.076,207.409,80.6549,-4.37511
77,0.077,207.508,80.6641,-4.37511
78,0.078,207.607,80.6734,-4.37511
79,0.079,207.706,80.6827,-4.37511
80,0.08,207.805,80.692,-4.37511
81,0.081,207.904,80.7013,-4.37511
82,0.082,208.004,80.7107,-4.37511
83,0.083,208.103,80.72,-4.37511
84,0.084,208.202,80.7294,-4.37511
85,0.085,208.302,80.7388,-4.37511
86,0.086,208.401,80.7482,-4.37511
87,0.087,208.5,80.7577,-4.37511
88,0.088,208.6,80.7671,-4.37511
89,0.089,208.699,80.7766,-4.37511
90,0.09,208.799,80.7861,-4.37511
91,0.091,208.898,80.7956,-4.37511
92,0.092,208.998,80.8051,-4.37511
93,0.093,209.098,80.8146,-4.37511
94,0.094,209.197,80.8242,-4.37511
95,0.095,209.297,80.8337,-4.37511
96,0.096,209.397,80.8433,-4.37511
97,0.097,209.497,80.8529,-4.37511
98,0.098,209.596,80.8625,-4.37511
99,0.099,209.696,80.8722,-4.37511
100,0.1,209.796,80.8818,-4.37511
